source_node,target_node,relationship_type,relationship_source,relationship_strength,clinical_substitution_supported,graph_view
NODE_ALBUTEROL,NODE_THEOPHYLLINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (818865),0.4,False,SIMILARITY
NODE_ALBUTEROL,NODE_GUAIFENESIN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (812737),0.4,False,SIMILARITY
NODE_FLUTICASONE,NODE_SALMETEROL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (284635),0.4,False,SIMILARITY
NODE_FLUTICASONE,NODE_AZELASTINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1291859),0.4,False,SIMILARITY
NODE_FLUTICASONE,NODE_UMECLIDINIUM,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1945038),0.4,False,SIMILARITY
NODE_FLUTICASONE,NODE_VILANTEROL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1945038, 1424888)",0.4,False,SIMILARITY
NODE_TIOTROPIUM,NODE_OLODATEROL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1658460),0.4,False,SIMILARITY
NODE_CETIRIZINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (352367),0.4,False,SIMILARITY
NODE_LORATADINE,NODE_LEVOCETIRIZINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1653939),0.4,False,SIMILARITY
NODE_LORATADINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008083, 214682)",0.4,False,SIMILARITY
NODE_LORATADINE,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008083),0.4,False,SIMILARITY
NODE_FEXOFENADINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (214565),0.4,False,SIMILARITY
NODE_FORMOTEROL,NODE_ACLIDINIUM,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2205093),0.4,False,SIMILARITY
NODE_FORMOTEROL,NODE_MOMETASONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1002293),0.4,False,SIMILARITY
NODE_FORMOTEROL,NODE_BECLOMETHASONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2747290),0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_CODEINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (818560, 834769)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_GUAIFENESIN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (690690, 819002, 1664630, 815866)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_DEXTROMETHORPHAN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (466566, 645246, 1008443, 1008252, 1664630, 1008802)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (466566, 214512, 689786, 1008893)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_PHENYLEPHRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689785, 819002, 834774, 668889, 852898, 1008443, 1664630, 834769, 1008802, 1653138, 690693)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_IBUPROFEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (644895),0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (813715, 1593109, 819002, 689786, 466566, 1008252, 1008893, 1664630, 1008802, 689785, 214181)",0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_NAPROXEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1550956),0.4,False,SIMILARITY
NODE_DIPHENHYDRAMINE,NODE_HYDROCODONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (668889),0.4,False,SIMILARITY
NODE_DESLORATADINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (597501),0.4,False,SIMILARITY
NODE_OLOPATADINE,NODE_MOMETASONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2591802),0.4,False,SIMILARITY
NODE_UMECLIDINIUM,NODE_VILANTEROL,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1945038, 1487518)",0.4,False,SIMILARITY
NODE_THEOPHYLLINE,NODE_GUAIFENESIN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (214540, 691226, 819684, 1007302, 214600, 690824)",0.4,False,SIMILARITY
NODE_THEOPHYLLINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (819684),0.4,False,SIMILARITY
NODE_THEOPHYLLINE,NODE_TERBUTALINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008082),0.4,False,SIMILARITY
NODE_CODEINE,NODE_GUAIFENESIN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689891, 466489, 1008871, 689888, 1008059, 1008315, 690085, 689769, 1007572, 214447, 690082, 214442)",0.4,False,SIMILARITY
NODE_CODEINE,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1012123, 1190579, 466489, 817379, 214445, 214451, 880446, 466568, 690085, 818422, 690093, 1007572, 814483)",0.4,False,SIMILARITY
NODE_CODEINE,NODE_PHENYLEPHRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (802546, 1661318, 214449, 214450, 1008871, 689579, 690647, 690082, 690088, 1007568, 1008319, 818852, 690093, 689380, 1013615, 834769, 690804, 466512, 1147841, 689381)",0.4,False,SIMILARITY
NODE_CODEINE,NODE_IBUPROFEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (710303),0.4,False,SIMILARITY
NODE_CODEINE,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (817579, 817379, 689555, 814657, 1008871, 1008554, 689563, 1007569, 817430, 689579, 689769, 1007572, 689552, 689568, 689561, 814483)",0.4,False,SIMILARITY
NODE_CODEINE,NODE_DICLOFENAC,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1008110),0.4,False,SIMILARITY
NODE_CODEINE,NODE_CARISOPRODOL,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689522),0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_DEXTROMETHORPHAN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007527, 1009091, 689777, 1008393, 1653133, 1664630, 1008984, 815641, 2670534, 689775, 214488, 812410, 1009013, 1008255, 1008002, 689778, 214494, 1089042, 817555, 466556, 816433, 214495, 820044, 1743368, 1007525, 823294, 689387, 815192, 2737699, 815631, 689776)",0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (690467, 1007527, 1009091, 466489, 1007499, 1007572, 404794, 802683, 880373, 214604, 1008255, 466529, 818689, 820369, 689778, 816433, 690811, 214495, 1007269, 819684, 814512, 214599, 214407, 690085, 1008836)",0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_PHENYLEPHRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (214597, 818485, 1008871, 1008393, 880688, 631158, 689570, 1653133, 1664630, 690082, 284629, 819002, 214406, 1009013, 1008002, 1653154, 214494, 1089042, 404802, 1007364, 817497, 1743368, 689387, 1007901, 214603, 1048074, 466555, 1008836, 689776)",0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (2178938, 1008871, 689777, 631158, 689570, 1664630, 1007572, 689775, 819002, 689769, 817377, 1366507, 689778, 606096, 2178933, 1007269, 1743368, 1302427, 689776)",0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_NAPROXEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2737699),0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_HYDROCODONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (817612, 214594, 689458, 214603, 689455, 214604, 466529, 819306, 817497)",0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_HYDROMORPHONE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (689460),0.4,False,SIMILARITY
NODE_GUAIFENESIN,NODE_TERBUTALINE,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (817953),0.4,False,SIMILARITY
